Partlist exported from C:/Users/Parents/Documents/League/GitHub/EE-Workshop/Lesson 4/Eagle/DIYpiano/DIYpiano.sch at 12/14/2018 4:01 PMPartlist exported from C:/Users/Parents/Documents/League/GitHub/EE-Workshop/Lesson 4/Eagle/DIYpiano/DIYpiano.sch at 12/14/2018 4:01 PMQty,Digikey#,Digikey $,Mouser#,Mouser $,Manf#,Manf,Device,Value,Description,
1,,,534-3001,,,,CR1220THM,3V,CR1216/CR1220/CR1225 12mm 3V lithium coin cell,
2,,,581-SR201C104KARTR1,,,,C-US025-025X050,100nF,CAPACITOR, American symbol,
1,,,595-TLC555CP,,,,NE555N,NE555N,TIMER,
1,,,603-MFR-25FBF52-1K1,,,,R-US_0207/10,1.1K,RESISTOR, American symbol,
1,,,603-MFR-25FBF52-1K3,,,,R-US_0207/10,1.3K,RESISTOR, American symbol,
1,,,603-MFR-25FBF52-1K5,,,,R-US_0207/10,1.5K,RESISTOR, American symbol,
3,,,660-MF1/4DCT26A1001F,,,,R-US_0207/10,1K,RESISTOR, American symbol,
1,,,603-MFR-25FRF52-6K2,,,,R-US_0207/10,6.2K,RESISTOR, American symbol,
1,,,603-MFR-25FTE52-390R,,,,R-US_0207/10,390,RESISTOR, American symbol,
1,,,603-MFR-25FBF52-620R,,,,R-US_0207/10,620,RESISTOR, American symbol,
1,,,603-MFR-25FRF52-910R,,,,R-US_0207/10,910,RESISTOR, American symbol,
8,,,653-B3F-1000,,,,MOMENTARY-SWITCH-SPST-PTH-6.0MM,MOMENTARY-SWITCH-SPST-PTH-6.0MM,Momentary Switch (Pushbutton) - SPST,
1,,,665-AST-01508MR-R,,,,F/HMB,,BUZZER Source: Buerklin,
1,,,833-PN2222A-AP,,,,-NPN-TO92-E1,2N2222,NPN Transistror,
,***Total Price***,       0.00,,,,,,,,
,***Unit Price***,       0.00,,,,,,,,
